Id;Element;Bus;Phases;RTC;Ip_ph(P);Ip_ph(S);Ip_n(P);Ip_n(S);Isc_max(P);Isc_max(S);TMS
R1;Line.l0;['799', '799r'];['1', '2', '3'];40,0;20,0;0,5;20,0;0,5;701,9791955345038;17,549479888362594;1,199999991837855
R2;Line.l35;['799r', '701'];['1', '2', '3'];40,0;300,0;7,5;20,0;0,5;683,960546770317;17,099013669257925;0,24968296047741803
R3;Line.l1;['701', '702'];['1', '2', '3'];20,0;190,0;9,5;20,0;1,0;670,6639936101286;33,53319968050643;0,35605626435268745
R4;Line.l2;['702', '705'];['1', '2', '3'];5,0;40,0;8,0;5,0;1,0;649,051922428683;129,81038448573662;0,12363428242309693
R5;Line.l3;['702', '713'];['1', '2', '3'];8,0;64,0;8,0;8,0;1,0;659,1571828680592;82,3946478585074;0,30472268590175144
R6;Line.l4;['702', '703'];['1', '2', '3'];15,0;127,5;8,5;15,0;1,0;652,1468648888656;43,476457659257704;0,4250852559502573
R7;Line.l22;['713', '704'];['1', '2', '3'];8,0;60,0;7,5;4,0;0,5;643,197742440299;80,39971780503737;0,2440372339745971
R8;Line.l9;['705', '742'];['1', '2', '3'];5,0;25,0;5,0;2,5;0,5;632,6305900192832;126,52611800385664;0,05
R9;Line.l10;['705', '712'];['1', '2', '3'];5,0;22,5;4,5;2,5;0,5;636,344403629987;127,2688807259974;0,05000140910866467
R10;Line.l7;['704', '714'];['1', '2', '3'];8,0;52,0;6,5;4,0;0,5;638,9088591269737;79,8636073908717;0,12383728301162848
R11;Line.l8;['704', '720'];['1', '2', '3'];10,0;85,0;8,5;10,0;1,0;620,3556964706636;62,03556964706636;0,14903277489453193
R12;Line.l23;['714', '718'];['1', '2', '3'];8,0;56,0;7,0;4,0;0,5;612,0025683259066;76,50032104073833;0,05
R13;Line.l6;['703', '730'];['1', '2', '3'];15,0;127,5;8,5;15,0;1,0;634,8898265437343;42,325988436248956;0,3784909678895604
R14;Line.l5;['703', '727'];['1', '2', '3'];5,0;40,0;8,0;5,0;1,0;639,3208418075806;127,8641683615161;0,21863722573247849
R15;Line.l26;['727', '744'];['1', '2', '3'];5,0;40,0;8,0;5,0;1,0;630,7853662638141;126,15707325276283;0,1375899058915871
R16;Line.l25;['720', '706'];['1', '2', '3'];5,0;15,0;3,0;2,5;0,5;603,4756321867468;120,69512643734936;0,1589108152374058
R17;Line.l24;['720', '707'];['1', '2', '3'];8,0;56,0;7,0;4,0;0,5;579,768247852976;72,471030981622;0,11372309395587661
R18;Line.l34;['744', '729'];['1', '2', '3'];8,0;56,0;7,0;4,0;0,5;616,2835784683903;77,03544730854878;0,05
R19;Line.l33;['744', '728'];['1', '2', '3'];5,0;22,5;4,5;2,5;0,5;621,0117949299793;124,20235898599586;0,05000162503360134
R20;Line.l27;['730', '709'];['1', '2', '3'];15,0;105,0;7,0;7,5;0,5;629,3332101721703;41,95554734481136;0,37328994369618634
R21;Transformer.xfm1;['709', '775'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;531,1476392551447;106,22952785102893;0,050002458326366746
R22;Line.l16;['709', '731'];['1', '2', '3'];5,0;25,0;5,0;2,5;0,5;612,1766761946028;122,43533523892056;0,05000029438826084
R23;Line.l17;['709', '708'];['1', '2', '3'];15,0;105,0;7,0;7,5;0,5;620,4471652524919;41,36314435016613;0,3216041088071156
R24;Line.l11;['706', '725'];['1', '2', '3'];5,0;15,0;3,0;2,5;0,5;590,7272882078074;118,14545764156148;0,05000045144023042
R25;Line.l15;['708', '732'];['1', '2', '3'];5,0;12,5;2,5;2,5;0,5;605,04115501113;121,00823100222598;0,05
R26;Line.l14;['708', '733'];['1', '2', '3'];10,0;95,0;9,5;10,0;1,0;611,8039803879007;61,18039803879007;0,2943956265612317
R27;Line.l13;['707', '722'];['1', '2', '3'];5,0;45,0;9,0;5,0;1,0;574,7531195960911;114,95062391921822;0,05000043019440144
R28;Line.l12;['707', '724'];['1', '2', '3'];5,0;12,5;2,5;2,5;0,5;548,3558349437583;109,67116698875165;0,0500013476450281
R29;Line.l28;['733', '734'];['1', '2', '3'];10,0;75,0;7,5;5,0;0,5;596,8662057853816;59,686620578538154;0,27246357697787704
R30;Line.l29;['734', '737'];['1', '2', '3'];8,0;64,0;8,0;8,0;1,0;580,4695692255686;72,55869615319608;0,2296164217757775
R31;Line.l30;['734', '710'];['1', '2', '3'];5,0;30,0;6,0;2,5;0,5;574,1694804651145;114,8338960930229;0,13185083404343348
R32;Line.l18;['710', '735'];['1', '2', '3'];5,0;22,5;4,5;2,5;0,5;565,7343550083883;113,14687100167767;0,05
R33;Line.l19;['710', '736'];['1', '2', '3'];5,0;12,5;2,5;2,5;0,5;524,42563866397;104,88512773279399;0,05000038898036829
R34;Line.l31;['737', '738'];['1', '2', '3'];5,0;47,5;9,5;5,0;1,0;570,2504467406383;114,05008934812766;0,1888297190217239
R35;Line.l32;['738', '711'];['1', '2', '3'];8,0;60,0;7,5;4,0;0,5;560,0141331211905;70,00176664014882;0,10528122388830227
R36;Line.l20;['711', '741'];['1', '2', '3'];5,0;12,5;2,5;2,5;0,5;550,6111152065176;110,12222304130353;0,050003526332816205
R37;Line.l21;['711', '740'];['1', '2', '3'];8,0;60,0;7,5;4,0;0,5;551,5584952160272;68,9448119020034;0,05000001998635427
