Id;Element;Bus;Phases;RTC;Ip_ph(P);Ip_ph(S);Ip_n(P);Ip_n(S);Isc_max(P);Isc_max(S);TMS
R1;Transformer.reg1;['650', 'rg60'];['1'];120,0;1020,0;8,5;120,0;1,0;8646,389031832574;72,05324193193812;0,17975900468724454
R1;Transformer.reg2;['650', 'rg60'];['2'];120,0;1020,0;8,5;120,0;1,0;8646,389031832574;72,05324193193812;0,17975900468724454
R1;Transformer.reg3;['650', 'rg60'];['3'];120,0;1020,0;8,5;120,0;1,0;8646,389031832574;72,05324193193812;0,17975900468724454
R2;Line.650632;['rg60', '632'];['1', '2', '3'];120,0;900,0;7,5;60,0;0,5;4834,306345437957;40,28588621198298;0,1471591010386737
R3;Line.632670;['632', '670'];['1', '2', '3'];80,0;760,0;9,5;80,0;1,0;4244,469507508368;53,055868843854604;0,1263993301874226
R4;Line.632633;['632', '633'];['1', '2', '3'];40,0;140,0;3,5;20,0;0,5;4171,992602450248;104,29981506125621;0,11865799014821386
R5;Line.632645;['632', '645'];['3', '2'];40,0;220,0;5,5;20,0;0,5;3539,978766552446;88,49946916381114;0,11010915697276505
R6;Transformer.xfm1;['633', '634'];['1', '2', '3'];20,0;130,0;6,5;10,0;0,5;1774,2258649956689;88,71129324978344;0,050081907142802105
R7;Line.645646;['645', '646'];['3', '2'];30,0;105,0;3,5;15,0;0,5;3162,9668833414094;105,43222944471364;0,05011488509897089
R8;Line.670671;['670', '671'];['1', '2', '3'];80,0;760,0;9,5;80,0;1,0;3408,9892149590187;42,61236518698773;0,09334627122285985
R9;Line.671680;['671', '680'];['1', '2', '3'];30,0;15,0;0,5;15,0;0,5;2930,3435294428823;97,67811764809608;0,05003040203506553
R10;Line.671684;['671', '684'];['1', '3'];30,0;105,0;3,5;15,0;0,5;2662,5672514803214;88,75224171601072;0,13596280600338267
R11;Line.671692;['671', '692'];['1', '2', '3'];40,0;360,0;9,0;40,0;1,0;3408,9587972748054;85,22396993187013;0,09932714592483603
R12;Line.692675;['692', '675'];['1', '2', '3'];40,0;320,0;8,0;40,0;1,0;3166,880001502543;79,17200003756358;0,05006198359583337
R13;Line.684611;['684', '611'];['3'];20,0;110,0;5,5;10,0;0,5;1826,447692149854;91,3223846074927;0,050234571278003896
R14;Line.684652;['684', '652'];['1'];20,0;100,0;5,0;10,0;0,5;1792,1260150701098;89,6063007535055;0,05023272628013984
