Relé;TMS
1_2_itc;0,2177641871871998
2_3_itc;0,3435243618099997
3_4_itc;2,2784948355615002
3_5_itc;0,3169379758227997
5_6_itc;0,2000999005415003
6_7_itc;0,20206942806389971
7_8_itc;0,20453682661159966
8_9_itc;0,20337697772660013
9_10_itc;0,2059478350671995
9_11_itc;1,7949515461755996
11_12_itc;0,20121353235630002
10_13_itc;2,0407954568708
10_14_itc;0,2018239116624998
14_15_itc;0,2007443682808996
15_16_itc;0,2031064837579002
16_17_itc;0,2040451928921998
16_18_itc;1,7495891812431998
12_19_itc;0,20129322145039996
17_20_itc;0,20484835992880002
20_21_itc;0,20305567600020025
21_22_itc;1,4861399149303
22_23_itc;0,20412132024870003
21_24_itc;0,2027494621742998
24_25_itc;1,0653321376257001
24_26_itc;0,20012948053769986
26_27_itc;0,20284568310759998
26_28_itc;0,27061452671520014
27_29_itc;0,20195420961299992
29_30_itc;0,20099925601989999
28_31_itc;0,2030131044033
31_32_itc;0,201277583847
31_33_itc;0,3678871883497
32_34_itc;0,20094742654900005
30_35_itc;0,20204140527719996
