Id;Element;Bus;Phases;RTC;Ip_ph(P);Ip_ph(S);Ip_n(P);Ip_n(S);Isc_max(P);Isc_max(S);TMS
R1;Line.l1;['800', '802'];['1', '2', '3'];240,0;120,0;0,5;120,0;0,5;23016,793698674228;95,90330707780929;1,0831197730915518
R2;Line.l2;['802', '806'];['1', '2', '3'];120,0;60,0;0,5;60,0;0,5;13813,50981106803;115,11258175890025;1,095848872678159
R3;Line.l3;['806', '808'];['1', '2', '3'];15,0;45,0;3,0;7,5;0,5;1634,603589893996;108,97357265959974;1,0416920503765776
R4;Line.l4;['808', '810'];['2'];10,0;5,0;0,5;5,0;0,5;909,4645203588065;90,94645203588064;0,05067548894909316
R5;Line.l5;['808', '812'];['1', '2', '3'];8,0;44,0;5,5;4,0;0,5;806,629947199607;100,82874339995088;0,9326852018077878
R6;Line.l6;['812', '814'];['1', '2', '3'];5,0;45,0;9,0;5,0;1,0;575,5520802960967;115,11041605921935;0,8592230506774177
R7;Line.l33;['814', '814r'];['1', '2', '3'];5,0;45,0;9,0;5,0;1,0;514,7209299053318;102,94418598106635;0,7970370370744515
R8;Line.l7;['814r', '850'];['1', '2', '3'];5,0;45,0;9,0;5,0;1,0;514,6614425519499;102,93228851038998;0,7338537844072136
R9;Line.l24;['850', '816'];['1', '2', '3'];5,0;45,0;9,0;5,0;1,0;512,8240263671098;102,56480527342197;0,6711334430906932
R10;Line.l9;['816', '824'];['1', '2', '3'];5,0;32,5;6,5;2,5;0,5;458,7784553880496;91,75569107760992;0,7111288441637061
R11;Line.l8;['816', '818'];['1'];3,0;21,0;7,0;1,5;0,5;351,48996097968256;117,16332032656085;0,16804523390930784
R12;Line.l10;['818', '820'];['1'];2,0;19,0;9,5;2,0;1,0;208,40383666038483;104,20191833019241;0,10482274462245189
R13;Line.l12;['824', '826'];['2'];3,0;3,0;1,0;1,5;0,5;315,04035404787265;105,01345134929089;0,05
R14;Line.l13;['824', '828'];['1', '2', '3'];5,0;27,5;5,5;2,5;0,5;454,80364972381756;90,96072994476351;0,6902348750943367
R15;Line.l14;['828', '830'];['1', '2', '3'];3,0;28,5;9,5;3,0;1,0;375,41896996815245;125,13965665605082;0,6129419467589204
R16;Line.l15;['830', '854'];['1', '2', '3'];3,0;27,0;9,0;3,0;1,0;373,76408860471906;124,58802953490635;0,558880387038203
R17;Line.l27;['854', '852'];['1', '2', '3'];3,0;25,5;8,5;3,0;1,0;284,2800192814121;94,76000642713736;0,5127447641493298
R18;Line.l26;['854', '856'];['2'];2,0;1,0;0,5;1,0;0,5;212,53997850041242;106,26998925020621;0,05125165178917824
R19;Line.l11;['820', '822'];['1'];2,0;9,0;4,5;1,0;0,5;185,98322492276856;92,99161246138428;0,05022010112782805
R20;Line.l34;['852', '852r'];['1', '2', '3'];3,0;25,5;8,5;3,0;1,0;269,490537087489;89,83017902916299;0,45178340909853976
R21;Line.l25;['852r', '832'];['1', '2', '3'];3,0;25,5;8,5;3,0;1,0;269,47391501993394;89,82463833997798;0,39109912682882453
R22;Transformer.xfm1;['832', '888'];['1', '2', '3'];2,0;11,0;5,5;1,0;0,5;138,97098421526806;69,48549210763403;0,09624755057119301
R23;Line.l32;['888', '890'];['1', '2', '3'];8,0;64,0;8,0;8,0;1,0;432,81454751813624;54,10181843976703;0,05021691287515498
R24;Line.l16;['832', '858'];['1', '2', '3'];3,0;21,0;7,0;1,5;0,5;261,4061177050317;87,1353725683439;0,3588545727526703
R25;Line.l28;['858', '864'];['1'];2,0;1,0;0,5;1,0;0,5;178,1223967048152;89,0611983524076;0,05167640778985345
R26;Line.l29;['858', '834'];['1', '2', '3'];3,0;19,5;6,5;1,5;0,5;252,4002070485511;84,13340234951703;0,3063444532167044
R27;Line.l18;['834', '842'];['1', '2', '3'];3,0;18,0;6,0;1,5;0,5;251,97776093002784;83,99258697667595;0,24636710691223201
R28;Line.l17;['834', '860'];['1', '2', '3'];2,0;8,0;4,0;1,0;0,5;249,37315814629096;124,68657907314548;0,30843921310785155
R29;Line.l21;['842', '844'];['1', '2', '3'];2,0;17,0;8,5;2,0;1,0;249,95777433978932;124,97888716989466;0,1841517966025589
R30;Line.l22;['844', '846'];['1', '2', '3'];2,0;15,0;7,5;1,0;0,5;244,47098186561914;122,23549093280957;0,12300835467171338
R31;Line.l30;['860', '836'];['1', '2', '3'];2,0;6,0;3,0;1,0;0,5;245,41635937729484;122,70817968864742;0,23657555050020215
R32;Line.l20;['836', '862'];['1', '2', '3'];2,0;4,0;2,0;1,0;0,5;245,0150054726408;122,5075027363204;0,15409185151319174
R33;Line.l19;['836', '840'];['1', '2', '3'];2,0;8,0;4,0;1,0;0,5;244,1545902907658;122,0772951453829;0,05000503704485438
R34;Line.l31;['862', '838'];['2'];2,0;2,0;1,0;1,0;0,5;171,3230481134922;85,6615240567461;0,05018814198759335
R35;Line.l23;['846', '848'];['1', '2', '3'];2,0;16,0;8,0;2,0;1,0;243,68659532755478;121,84329766377739;0,050005608963879636
