Id;Element;Bus;Phases;RTC;Ip_ph(P);Ip_ph(S);Ip_n(P);Ip_n(S);Isc_max(P);Isc_max(S);TMS
R1;Line.l0;['799', '799r'];['1', '2', '3'];40,0;20,0;0,5;20,0;0,5;701,9791955900787;17,549479889751968;1,1999955624777676
R2;Line.l35;['799r', '701'];['1', '2', '3'];40,0;20,0;0,5;20,0;0,5;683,9605468239422;17,099013670598556;1,096590929352419
R3;Line.l1;['701', '702'];['1', '2', '3'];30,0;15,0;0,5;15,0;0,5;670,663993667188;22,355466455572934;1,0769625311643614
R4;Line.l2;['702', '705'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;645,8895057359234;129,17790114718468;0,2570486401178322
R5;Line.l3;['702', '713'];['1', '2', '3'];10,0;5,0;0,5;5,0;0,5;658,1523257367049;65,8152325736705;0,7436472942321081
R6;Line.l4;['702', '703'];['1', '2', '3'];20,0;10,0;0,5;10,0;0,5;651,4988820401409;32,574944102007045;1,0787544774087732
R7;Line.l22;['713', '704'];['1', '2', '3'];10,0;5,0;0,5;5,0;0,5;640,8728101452618;64,08728101452618;0,5562521682793974
R8;Line.l9;['705', '742'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;627,2629587687098;125,45259175374197;0,05
R9;Line.l10;['705', '712'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;631,5065305053081;126,30130610106161;0,05109221104977758
R10;Line.l7;['704', '714'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;636,2116910815411;127,24233821630821;0,2905802404982461
R11;Line.l8;['704', '720'];['1', '2', '3'];10,0;5,0;0,5;5,0;0,5;615,2191912194338;61,521919121943384;0,396613052135619
R12;Line.l23;['714', '718'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;607,1457939045149;121,42915878090298;0,05
R13;Line.l6;['703', '730'];['1', '2', '3'];20,0;10,0;0,5;10,0;0,5;632,676872707546;31,633843635377296;0,9624393083878138
R14;Line.l5;['703', '727'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;637,4502414771023;127,49004829542045;0,39878260014332595
R15;Line.l26;['727', '744'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;628,2411754305159;125,64823508610318;0,22191282871991114
R16;Line.l25;['720', '706'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;596,5276407292714;119,30552814585428;0,23043502122023812
R17;Line.l24;['720', '707'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;569,6218775346848;113,92437550693697;0,2739630852868317
R18;Line.l34;['744', '729'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;612,5201939985742;122,50403879971483;0,05
R19;Line.l33;['744', '728'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;617,0578145631725;123,41156291263451;0,05
R20;Line.l27;['730', '709'];['1', '2', '3'];15,0;7,5;0,5;7,5;0,5;626,6386843220632;41,77591228813755;0,9025012228640903
R21;Transformer.xfm1;['709', '775'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;525,8941710869485;105,1788342173897;0,061955222185127876
R22;Line.l16;['709', '731'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;607,3894743668114;121,47789487336229;0,06311549788464257
R23;Line.l17;['709', '708'];['1', '2', '3'];15,0;7,5;0,5;7,5;0,5;617,0213803569133;41,134758690460885;0,7874858036036847
R24;Line.l11;['706', '725'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;582,2764039540542;116,45528079081085;0,05375958237261702
R25;Line.l15;['708', '732'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;599,5125666285935;119,9025133257187;0,05
R26;Line.l14;['708', '733'];['1', '2', '3'];15,0;7,5;0,5;7,5;0,5;607,6918169355102;40,51278779570068;0,6638667875763524
R27;Line.l13;['707', '722'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;564,0683643336935;112,8136728667387;0,07232226924308222
R28;Line.l12;['707', '724'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;535,1926647881913;107,03853295763827;0,05
R29;Line.l28;['733', '734'];['1', '2', '3'];15,0;7,5;0,5;7,5;0,5;591,6563831236338;39,443758874908916;0,5429076501242625
R30;Line.l29;['734', '737'];['1', '2', '3'];10,0;5,0;0,5;5,0;0,5;574,1495903135402;57,41495903135402;0,4702394030016178
R31;Line.l30;['734', '710'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;566,0156926414653;113,20313852829307;0,21768985887731418
R32;Line.l18;['710', '735'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;556,5888958743304;111,31777917486609;0,05
R33;Line.l19;['710', '736'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;510,9898162849725;102,1979632569945;0,05
R34;Line.l31;['737', '738'];['1', '2', '3'];8,0;4,0;0,5;4,0;0,5;563,3117851697771;70,41397314622213;0,3439066901203618
R35;Line.l32;['738', '711'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;552,5124452810265;110,5024890562053;0,21379728163792197
R36;Line.l20;['711', '741'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;542,1157014391707;108,42314028783414;0,05177287233470679
R37;Line.l21;['711', '740'];['1', '2', '3'];5,0;2,5;0,5;2,5;0,5;543,5307775931499;108,70615551862997;0,05
