Fault;rg60;632;670;633;645;634;646;671;680;684;692;675;611;652
R1;8644,32856756196;4954,474220876538;4344,460942445095;4258,632521270427;3802,0352730102936;2033,0629307215193;3432,0477939358034;3491,0231149032875;3056,5513261667406;3014,0487308947563;3491,022960412972;3296,0994900521277;0,0;0,0
R2;0,0;4663,034304770127;4088,904121622576;4008,1244334151934;3620,9856512126735;1913,4705467663373;3268,61661395721;3285,668465552989;2876,7538133332187;2820,1621732956287;3285,668320148511;3102,2109331604524;0,0;0,0
R3;0,0;0,0;4082,8080424483474;0,0;0,0;0,0;0,0;3271,3527329893286;2858,3817009754475;2759,9751970190937;3271,352587074855;3086,539306668772;0,0;0,0
R4;0,0;0,0;0,0;3869,1009626841806;0,0;1711,006397313611;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R5;0,0;0,0;0,0;0,0;3542,336472424956;0,0;3187,3097387364387;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R6;0,0;0,0;0,0;0,0;0,0;1711,0065716482038;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R7;0,0;0,0;0,0;0,0;0,0;0,0;3176,174126326282;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3269,53673729969;2855,702743924998;2742,828430321064;3269,536590521025;3084,2421854917575;0,0;0,0
R9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2728,9327958520407;0,0;0,0;0,0;0,0;0,0
R10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2676,3790802649874;0,0;0,0;0,0;0,0
R11;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3201,6576595194333;3001,343931288385;0,0;0,0
R12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2971,5409697517666;0,0;0,0
R13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
R14;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
